bico_injetor_id;fornecedor;data_cotacao;uso_anual;qtde_min_pedido;desconto_qtde;quanitdade;custo
BI-00002;F-0066;2013-07-07;0;0;Sim;1;21.9059330191461
BI-00002;F-0066;2013-07-07;0;0;Sim;2;12.3412139792904
BI-00002;F-0066;2013-07-07;0;0;Sim;5;6.60182614356538
BI-00002;F-0066;2013-07-07;0;0;Sim;10;4.6877695119712
BI-00002;F-0066;2013-07-07;0;0;Sim;25;3.54156118026073
BI-00002;F-0066;2013-07-07;0;0;Sim;50;3.22440644770007
BI-00002;F-0066;2013-07-07;0;0;Sim;100;3.08252143576504
BI-00002;F-0066;2013-07-07;0;0;Sim;250;2.99905966403855
BI-00004;F-0066;2013-07-07;0;0;Sim;1;21.9727024365273
BI-00004;F-0066;2013-07-07;0;0;Sim;2;12.4079833966715
BI-00004;F-0066;2013-07-07;0;0;Sim;5;6.66859556094657
BI-00004;F-0066;2013-07-07;0;0;Sim;10;4.75453892935239
BI-00004;F-0066;2013-07-07;0;0;Sim;25;3.60833059764193
BI-00004;F-0066;2013-07-07;0;0;Sim;50;3.29117586508126
BI-00004;F-0066;2013-07-07;0;0;Sim;100;3.14929085314623
BI-00004;F-0066;2013-07-07;0;0;Sim;250;3.06582908141974
BI-00005;F-0066;2013-09-01;0;0;Sim;1;28.3742203279491
BI-00005;F-0066;2013-09-01;0;0;Sim;2;16.5143025656149
BI-00005;F-0066;2013-09-01;0;0;Sim;5;9.3977954964028
BI-00005;F-0066;2013-09-01;0;0;Sim;10;7.02748117937048
BI-00005;F-0066;2013-09-01;0;0;Sim;25;5.60306694190504
BI-00005;F-0066;2013-09-01;0;0;Sim;50;5.19410426044524
BI-00005;F-0066;2013-09-01;0;0;Sim;100;5.00770630358941
BI-00005;F-0066;2013-09-01;0;0;Sim;250;4.89642394128743
BI-00012;F-0066;2013-08-11;0;0;Sim;1;22.4150498266777
BI-00012;F-0066;2013-08-11;0;0;Sim;2;12.8503307868219
BI-00012;F-0066;2013-08-11;0;0;Sim;5;7.11372501015452
BI-00012;F-0066;2013-08-11;0;0;Sim;10;5.19966837856034
BI-00012;F-0066;2013-08-11;0;0;Sim;25;4.05067798779232
BI-00012;F-0066;2013-08-11;0;0;Sim;50;3.73630531428921
BI-00012;F-0066;2013-08-11;0;0;Sim;100;3.59442030235418
BI-00012;F-0066;2013-08-11;0;0;Sim;250;3.51095853062769
BI-00013;F-0026;1992-07-21;50;1;Não;1;10.0042843709486
BI-00014;F-0066;2013-03-17;0;0;Sim;1;21.9949589089877
BI-00014;F-0066;2013-03-17;0;0;Sim;2;12.4302398691319
BI-00014;F-0066;2013-03-17;0;0;Sim;5;6.69085203340696
BI-00014;F-0066;2013-03-17;0;0;Sim;10;4.77957746087034
BI-00014;F-0066;2013-03-17;0;0;Sim;25;3.63058707010232
BI-00014;F-0066;2013-03-17;0;0;Sim;50;3.31621439659921
BI-00014;F-0066;2013-03-17;0;0;Sim;100;3.17432938466418
BI-00014;F-0066;2013-03-17;0;0;Sim;250;3.08808555388014
BI-00021;F-0030;2014-02-10;1;1;Não;1;3.4330608770163
BI-00022;F-0013;2011-07-27;1;1;Não;1;8.5631777791379
BI-00024;F-0066;2013-08-01;0;0;Sim;1;20.9349944080613
BI-00024;F-0066;2013-08-01;0;0;Sim;2;11.3702753682055
BI-00024;F-0066;2013-08-01;0;0;Sim;5;5.63366959153809
BI-00024;F-0066;2013-08-01;0;0;Sim;10;3.71961295994391
BI-00024;F-0066;2013-08-01;0;0;Sim;25;2.57340462823345
BI-00024;F-0066;2013-08-01;0;0;Sim;50;2.25624989567278
BI-00024;F-0066;2013-08-01;0;0;Sim;100;2.11436488373775
BI-00024;F-0066;2013-08-01;0;0;Sim;250;2.03090311201126
BI-00025;F-0066;2013-08-01;0;0;Sim;1;20.7819811598961
BI-00025;F-0066;2013-08-01;0;0;Sim;2;11.2172621200403
BI-00025;F-0066;2013-08-01;0;0;Sim;5;5.47787428431531
BI-00025;F-0066;2013-08-01;0;0;Sim;10;3.56659971177868
BI-00025;F-0066;2013-08-01;0;0;Sim;25;2.41760932101067
BI-00025;F-0066;2013-08-01;0;0;Sim;50;2.10323664750755
