componente_id;componente_tipo_id;tipo;conexao_tipo_id;forma;tipo_base;distancia_base;compr_padrao_parafuso;larg_padrao_parafuso;sulco;diametro_base;diametro_borda;especificidade;orientatacao;peso
C-0008;CT-018;Singular;B-005;Redonda;Conjugada;17;NA;NA;Não;22;NA;Sim;Sim;0.032
C-0009;CT-018;Singular;B-004;Redonda;Conjugada;13;NA;NA;Não;25;NA;Não;Sim;0.033
C-0020;CT-018;Singular;B-005;Redonda;Rosca;28.4;NA;NA;Não;35;NA;Sim;Sim;0.07
C-0054;CT-018;Singular;B-005;Redonda;Rosca;27.1;NA;NA;Não;NA;NA;Sim;Sim;0.18
C-0071;CT-018;Singular;B-005;Redonda;Pressao;20;NA;NA;Não;30;23;Sim;Sim;0.08
C-0082;CT-018;Singular;B-002;Redonda;Rosca;15.65;NA;NA;Não;NA;NA;Sim;Sim;0.043
C-0083;CT-019;NA;B-012;NA;NA;36.5;77.8;42.9;Não;NA;NA;Não;Sim;2.093
C-0084;CT-019;NA;B-012;NA;NA;36.5;88.9;50.8;Não;NA;NA;Não;Sim;2.601
C-0111;CT-018;Singular;B-009;Redonda;Pressao;19;NA;NA;Não;35;30;Sim;Sim;0.1
C-0117;CT-018;Singular;B-005;Redonda;Rosca;22;NA;NA;Não;25.4;NA;Não;Sim;0.081
C-0151;CT-018;Singular;B-005;Redonda;Rosca;17.9;NA;NA;Não;NA;NA;Sim;Sim;0.047
C-0161;CT-020;NA;9999;NA;NA;19.2;76.2;NA;Não;NA;NA;Não;Sim;0.559
C-0165;CT-018;Singular;B-005;Redonda;Pressao;12;NA;NA;Não;30;25;Não;Sim;0.046
C-0177;CT-018;Singular;B-005;Redonda;Rosca;24;NA;NA;Não;NA;NA;Sim;Sim;0.122
C-0199;CT-018;Singular;B-004;Redonda;Pressao;23.6;NA;NA;Não;33.33;23.9;Sim;Sim;0.1
C-0208;CT-018;Duplo;B-002;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Não;Sim;0.023
C-0209;CT-018;Duplo;B-002;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Não;Sim;0.022
C-0213;CT-018;Duplo;B-002;Redonda;Rosca;22.35;NA;NA;Não;NA;NA;Não;Sim;0.159
C-0214;CT-018;Duplo;B-002;Redonda;Rosca;19.05;NA;NA;Não;NA;NA;Não;Sim;0.059
C-0215;CT-018;Duplo;B-002;Redonda;Rosca;17.53;NA;NA;Não;NA;NA;Não;Sim;0.033
C-0242;CT-018;Singular;B-005;Redonda;Conjugada;20;NA;NA;Não;32;NA;Sim;Sim;0.08
C-0243;CT-019;NA;B-012;NA;NA;36;88.9;50.8;Não;NA;NA;Não;Sim;4.034
C-0245;CT-018;Singular;B-004;Redonda;Pressao;20.5;NA;NA;Não;26.9;20.6;Sim;Sim;0.1
C-0255;CT-018;Singular;B-005;Redonda;Rosca;25;NA;NA;Não;NA;NA;Sim;Sim;0.127
C-0257;CT-019;NA;B-012;NA;NA;27.2;77.77;42.88;Não;NA;NA;Não;Sim;1.63
C-0258;CT-018;Singular;B-005;Redonda;Rosca;20.9;NA;NA;Não;NA;NA;Sim;Sim;0.192
C-0260;CT-018;Singular;B-005;Redonda;Rosca;25.4;NA;NA;Não;NA;NA;Sim;Sim;0.186
C-0262;CT-018;Singular;B-009;Redonda;Rosca;20.6;NA;NA;Não;NA;NA;Sim;Sim;0.158
C-0269;CT-019;NA;B-012;NA;NA;10.55;120.7;69.9;Não;NA;NA;Não;Sim;3.361
C-0274;CT-018;Singular;B-005;Redonda;Rosca;39.33;NA;NA;Não;40;NA;Sim;Sim;0.378
C-0278;CT-018;Duplo;B-002;Redonda;Rosca;14.22;NA;NA;Não;NA;NA;Não;Sim;0.015
C-0307;CT-019;NA;B-013;NA;NA;9999;57.15;27.76;Não;NA;NA;Não;Sim;1.05
C-0348;CT-018;Singular;B-005;Redonda;Rosca;19.1;NA;NA;Não;NA;NA;Sim;Sim;0.045
C-0356;CT-018;Singular;B-005;Redonda;Pressao;8;NA;NA;Não;35;30;Sim;Sim;0.12
C-0358;CT-018;Singular;B-009;Redonda;Rosca;38.4;NA;NA;Não;NA;NA;Sim;Sim;0.154
C-0387;CT-019;NA;B-012;NA;NA;24;58.72;30.18;Não;NA;NA;Não;Sim;0.939
C-0393;CT-018;Singular;B-005;Hexagonal;Pressao;24;NA;NA;Não;22;12.24;Sim;Sim;0.06
C-0405;CT-018;Singular;B-005;Redonda;Pressao;10;NA;NA;Não;30;20;Sim;Sim;0.05
C-0411;CT-018;Duplo;B-002;Redonda;Rosca;17.53;NA;NA;Não;NA;NA;Não;Sim;0.034
C-0425;CT-018;Singular;B-004;Redonda;Pressao;8.73;NA;NA;Não;15.88;12.29;Não;Sim;0.005
C-0426;CT-018;Singular;B-004;Redonda;Pressao;6;NA;NA;Não;22;18.2;Não;Sim;0.023
C-0432;CT-018;Singular;B-004;Redonda;Rosca;22.23;NA;NA;Não;38.1;NA;Não;Sim;0.063
C-0474;CT-018;Singular;B-005;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Não;Sim;0.054
C-0475;CT-018;Singular;B-005;Redonda;Rosca;15.8;NA;NA;Não;NA;NA;Sim;Sim;0.05
C-0483;CT-018;Singular;B-004;Redonda;Rosca;12;NA;NA;Não;NA;NA;Não;Sim;0.08
C-0486;CT-018;Singular;B-004;Redonda;Pressao;25.4;NA;NA;Não;38.1;26.9;Sim;Sim;0.114
C-0493;CT-018;Singular;B-004;Redonda;Rosca;16;NA;NA;Não;NA;NA;Não;Sim;0.015
C-0495;CT-018;Singular;B-005;Hexagonal;Rosca;25.4;NA;NA;Não;NA;NA;Não;Sim;0.083
C-0497;CT-018;Singular;B-005;Redonda;Rosca;16;NA;NA;Não;NA;NA;Sim;Sim;0.052
C-0499;CT-018;Singular;B-005;Hexagonal;Rosca;29.3;NA;NA;Não;NA;NA;Não;Sim;0.082
C-0502;CT-018;Duplo;B-002;Hexagonal;Rosca;31.9;NA;NA;Não;NA;NA;Não;Sim;0.269
C-0506;CT-018;Singular;B-005;Redonda;Rosca;24;NA;NA;Não;NA;NA;Sim;Sim;0.093
