bico_injetor_id;componente_id_1;quantidade_1;componente_id_2;quantidade_2;componente_id_3;quantidade_3;componente_id_4;quantidade_4;componente_id_5;quantidade_5;componente_id_6;quantidade_6;componente_id_7;quantidade_7;componente_id_8;quantidade_8
BI-00001;C-1622;2;C-1629;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00002;C-1312;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00003;C-1312;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00004;C-1312;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00005;C-1624;1;C-1631;1;C-1641;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00006;C-1624;1;C-1631;1;C-1641;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00007;C-1622;2;C-1629;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00008;C-1312;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00009;C-1625;2;C-1632;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00010;C-1768;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00011;C-1312;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00012;C-1312;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00013;C-1259;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00014;C-1622;2;C-1629;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00015;C-0448;2;C-0449;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00016;C-1349;1;C-1934;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00017;C-1349;1;C-1933;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00018;C-1555;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00020;C-1369;2;C-1374;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00021;C-1369;2;C-1374;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00022;C-1229;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00023;C-0823;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00024;C-0823;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00025;C-0823;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00026;C-1555;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00027;C-1845;2;C-1846;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00028;C-1970;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00029;C-1420;1;C-1421;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00030;C-1621;2;C-1628;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00031;C-1621;2;C-1628;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00032;C-1818;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BI-00033;C-0823;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
